的	DE_0;DI_1;DI_4;DI_2;DI_0
您	NIN_2
是	SHI_4;SHI_0
的话	DE_0 HUA_4
我	WO_3
你	NI_3
这边	ZHEI_4 BIAN_1;ZHE_4 BIAN_1
对	DUI_4;DUI_0
那	NA_1;NA_4;NA_3;NEI_4;NE_4
说	SHUI_4;SHUO_1;YUE_4
呢	NE_0;NI_2;NI_0
我们	WO_3 MEN_0
就	JIU_4;JIU_0
呃	E_4;E_0
啊	A_1;A_4;A_2;A_3;A_0
有	YOU_4;YOU_3
他	TA_1
吧	BA_1;BA_0
也	YE_3
这个	ZHEI_4 GE_4;ZHEI_4 GE_0;ZHE_4 GE_4;ZHE_4 GE_0
了	LE_0;LIAO_3
一个	YI_2 GE_4
嗯	EN_1
就是	JIU_4 SHI_4;JIU_4 SHI_0
因为	YIN_1 WEI_4;YIN_1 WEI_2;YIN_1 WEI_0
吗	MA_2;MA_3;MA_0
在	ZAI_4
哦	E_2;O_4;O_2
一下	YI_2 XIA_4
嘛	MA_2;MA_0
跟	GEN_1;GEN_0
然后	RAN_2 HOU_4
去	QU_4;QU_0
到	DAO_4
那个	NA_4 GE_4;NA_4 GE_0;NEI_4 GE_0
哈	HA_1;HA_4;HA_3;HA_0
这样	ZHEI_4 YANG_4;ZHEI_4 YANG_0;ZHE_4 YANG_4;ZHE_4 YANG_0
也是	YE_3 SHI_4
可以	KE_2 YI_3;KE_2 YI_0;KE_3 YI_3
没有	MEI_2 YOU_3
呀	YA_1;YA_0
咱们	ZAN_2 MEN_2;ZAN_2 MEN_0
都	DOU_1;DU_1
做	ZUO_4
男士	NAN_2 SHI_4
给	GEI_3;JI_3
会	HUI_4;KUAI_4
比较	BI_3 JIAO_4;BI_3 JIAO_0
就是说	JIU_4 SHI_4 SHUO_1
觉得	JUE_2 DE_0
过来	GUO_4 LAI_2;GUO_4 LAI_0
自己	ZI_4 JI_3
这	ZHEI_4;ZHE_4
要	YAO_1;YAO_4
了解	LIAO_2 JIE_3;LIAO_3 JIE_3
现在	XIAN_4 ZAI_4
不	BU_4;BU_2;BU_0
时间	SHI_2 JIAN_1
所以	SUO_2 YI_3;SUO_2 YI_0;SUO_3 YI_3
找	ZHAO_3
个	GE_4;GE_3;GE_0
